surface_form,pos,lemma
on,VERB,olla
ei,VERB,ei
ja,CONJ,ja
se,PRON,se
hän,PRON,hän
en,VERB,ei
mitä,PRON,mikä
että,CONJ,että
ole,VERB,olla
olen,VERB,olla
oli,VERB,olla
niin,ADV,niin
mutta,CONJ,mutta
sen,PRON,se
vain,ADV,vain
minä,NOUN,minä
minä,PRON,mikä
minä,PRON,minä
jos,CONJ,jos
tämä,PRON,tämä
nyt,ADV,nyt
voi,NOUN,voi
voi,VERB,voida
voi,OTHER,voi
sinä,PRON,se
sinä,PRON,sinä
olet,VERB,olla
kun,CONJ,kun
sitä,PRON,se
kuin,CONJ,kuin
kuin,NOUN,kuu
he,PRON,he
hänen,PRON,hän
täällä,ADV,täällä
olla,VERB,olla
et,VERB,ei
kaikki,NOUN,kaikki
minun,PRON,minä
ovat,VERB,olla
hyvä,ADJ,hyvä
minua,PRON,minä
sitten,ADV,sitten
onko,VERB,olla
miksi,PRON,mikä
sinua,PRON,sinä
miten,ADV,miten
sinun,PRON,sinä
älä,VERB,ei
siitä,VERB,siitä
siitä,VERB,siittää
siitä,PRON,se
hänet,PRON,hän
mitään,PRON,mikään
kyllä,ADV,kyllä
kiitos,NOUN,kiitos
hei,OTHER,hei
mikä,PRON,mikä
olisi,VERB,olla
ne,PRON,ne
kanssa,ADP,kanssa
pitää,VERB,pitää
joka,PRON,joka
ollut,ADJ,oltu
ollut,ADJ,ollut
tai,CONJ,tai
häntä,PRON,hän
häntä,NOUN,häntä
tässä,PRON,tämä
tiedä,VERB,tietää
minulle,PRON,minä
minulla,PRON,minä
jotain,PRON,jokin
ehkä,ADV,ehkä
missä,PRON,mikä
tuo,PRON,tuo
tuo,VERB,tuoda
minut,PRON,minä
me,PRON,me
oletko,VERB,olla
kuka,PRON,kuka
hyvin,ADV,hyvä
hyvin,ADV,hyvin
anteeksi,ADV,anteeksi
vielä,ADV,vielä
tämän,PRON,tämä
sinut,PRON,sinä
sinulle,PRON,sinä
jo,ADV,jo
koska,CONJ,koska
haluan,VERB,haluta
olemme,VERB,olla
tiedän,VERB,tietää
tehdä,VERB,tehdä
tänne,ADV,täällä
meidän,PRON,me
emme,VERB,ei
saa,VERB,saada
tule,VERB,tulla
paljon,ADJ,paljo
siellä,ADV,siellä
anna,VERB,antaa
anna,PROPN,Anna
eivät,VERB,ei
tätä,PRON,tämä
pois,ADV,pois
ennen,ADV,ennen
sinulla,PRON,sinä
täytyy,VERB,täytyä
aina,ADV,aina
aina,PROPN,Aina
tulee,VERB,tulla
siinä,PRON,se
enää,ADV,enää
eikö,VERB,ei
takaisin,ADV,takainen
takaisin,ADJ,takainen
takaisin,VERB,taata
herra,NOUN,herra
mistä,PRON,mikä
selvä,ADJ,selvä
yksi,NUM,yksi
te,PRON,te
