lemma,rank
olla,1
ei,2
se,3
hän,4
mikä,5
minä,6
ja,7
tämä,8
sinä,9
että,10
hyvä,11
niin,12
tietää,13
voi,14
haluta,15
me,16
pitää,17
mutta,18
saada,19
he,20
vain,21
täällä,22
mennä,23
kaikki,24
jos,25
joka,26
tulla,27
nyt,28
tehdä,29
sanoa,30
kun,31
tuo,32
kuin,33
ne,34
antaa,35
kanssa,36
sitten,37
mikään,38
tosi,39
kertoa,40
miten,41
tie,42
nähdä,43
kiitos,44
siitä,45
puhua,46
kyllä,47
aika,48
mies,49
tee,50
ottaa,51
jo,52
hei,53
asia,54
te,55
jokin,56
tarvita,57
siellä,58
oltu,59
vuo,60
isä,61
oikea,62
katsoa,63
itse,64
tai,65
tuli,66
yksi,67
lähteä,68
äiti,69
ehkä,70
vielä,71
päästä,72
kuka,73
luulla,74
yrittää,75
odottaa,76
anteeksi,77
käydä,78
joku,79
aina,80
koska,81
auttaa,82
toinen,83
paljo,84
ettei,85
ihminen,86
kaksi,87
työ,88
paha,89
poika,90
selvä,91
herra,92
mukaan,93
täytyä,94
ennen,95
näyttää,96
viedä,97
pois,98
nimi,99
lapsi,100
soittaa,101
tapahtua,102
kuolla,103
nainen,104
muuttaa,105
tappaa,106
ymmärtää,107
usko,108
voida,109
kuulla,110
löytää,111
muu,112
juuri,113
enää,114
uusi,115
takainen,116
koko,117
kukaan,118
sama,119
näin,120
alkaa,121
Varma,122
tarkoittaa,123
paikka,124
tyttö,125
nämä,126
ystävä,127
kunto,128
kuinka,129
pää,130
vai,131
Päivä,132
aikoa,133
auto,134
raha,135
koskaan,136
mieli,137
ajatella,138
muistaa,139
pyytää,140
kai,141
tuntea,142
ihan,143
elää,144
tapa,145
tavata,146
ajaa,147
puoli,148
etsiä,149
juttu,150
liika,151
entä,152
joten,153
rakastaa,154
aivan,155
hieno,156
ulos,157
siis,158
no,159
koti,160
käyttää,161
oleva,162
valmis,163
vähän,164
kuten,165
lopettaa,166
taitaa,167
palata,168
käsi,169
ken,170
kolme,171
edes,172
elämä,173
maa,174
myös,175
hetki,176
vuosi,177
noki,178
sellainen,179
kerta,180
vaan,181
apu,182
oma,183
Ilma,184
jälkeen,185
jättää,186
kysyä,187
taas,188
hakea,189
poliisi,190
hauska,191
moni,192
hoitaa,193
sisä,194
vaikka,195
tänään,196
syödä,197
osata,198
helvetti,199
pysyä,200
kuunnella,201
tuoda,202
suuri,203
Ilta,204
pystyä,205
maailma,206
nähnyt,207
vaimo,208
tehnyt,209
loppu,210
talo,211
pieni,212
yö,213
kiinni,214
luoja,215
kova,216
kaveri,217
perhe,218
varma,219
tunti,220
vanha,221
ase,222
väli,223
takia,224
heti,225
kutsua,226
ongelma,227
tuntua,228
täysi,229
ensimmäinen,230
ampua,231
iso,232
enemmän,233
istua,234
Pia,235
kauan,236
pari,237
unohtaa,238
saattaa,239
tärkeä,240
viikko,241
jatkaa,242
vasta,243
sopia,244
myöhä,245
lisä,246
vastaan,247
hullu,248
mukava,249
paska,250
veli,251
tieto,252
joutua,253
n,254
edessä,255
matka,256
siksi,257
huono,258
miksei,259
aloittaa,260
kuulua,261
hitto,262
kyse,263
yhä,264
jumala,265
luokse,266
kuoltu,267
kaunis,268
seurata,269
riittää,270
ikinä,271
asua,272
jää,273
voinut,274
viimeinen,275
ovi,276
yhdessä,277
nopea,278
ostaa,279
kulta,280
kestää,281
vittu,282
joo,283
onni,284
jäädä,285
oieta,286
yhtä,287
panna,288
saanut,289
syy,290
näkyä,291
rouva,292
silloin,293
vaikea,294
ensin,295
huone,296
pelastaa,297
pitänyt,298
tunne,299
ainoa,300
peljätä,301
tila,302
tarve,303
päivätä,304
nukkua,305
hätä,306
lupa,307
kuulostaa,308
avata,309
silmä,310
miettiä,311
minuutti,312
viisi,313
yksin,314
maksa,315
tohtori,316
osa,317
naida,318
laittaa,319
kerrata,320
kaupunki,321
helppo,322
joskus,323
kiva,324
mahtava,325
toimi,326
käskeä,327
kirjoittaa,328
välittää,329
voittaa,330
lukea,331
huomenna,332
huoli,333
kysymys,334
sana,335
jotta,336
toivo,337
tytär,338
kuva,339
tehtävä,340
milloin,341
koulu,342
usea,343
dollari,344
tulo,345
tiennyt,346
neljä,347
silti,348
tyyppi,349
vesi,350
kohta,351
lähellä,352
huomata,353
päättää,354
aamu,355
voinen,356
syyttää,357
onnistua,358
alla,359
outo,360
jokainen,361
menettää,362
väärä,363
tieten,364
vanhempi,365
selvitä,366
toimia,367
henki,368
viime,369
alas,370
seuraava,371
takana,372
tällainen,373
kiltti,374
löytyä,375
koto,376
pitkä,377
muuten,378
ruumis,379
ylös,380
yli,381
tultu,382
yhteys,383
kello,384
neiti,385
okei,386
ohi,387
lähettää,388
nousta,389
ruoka,390
molempi,391
selvittää,392
häipyä,393
kuukausi,394
valehdella,395
oikeus,396
suhde,397
sattua,398
hieman,399
tietty,400
vaikuttaa,401
halunnut,402
homma,403
joki,404
sir,405
veri,406
rauha,407
nuori,408
läpi,409
ääni,410
keksiä,411
jutella,412
sydän,413
liittyä,414
myydä,415
peli,416
millainen,417
meno,418
pelata,419
valita,420
tarina,421
toivottava,422
uskoa,423
tapaus,424
muutama,425
poissa,426
kuu,427
vetää,428
totuus,429
kunnes,430
suunnitelma,431
laskea,432
tajuta,433
viesti,434
jalka,435
murha,436
kapteeni,437
asti,438
luottaa,439
ajatus,440
turpa,441
irti,442
tapahtunut,443
ollut,444
ellei,445
kuitenkin,446
tahansa,447
lyödä,448
Hilja,449
lääkäri,450
kuultu,451
pakko,452
hankkia,453
kertonut,454
juoda,455
tuska,456
koira,457
tarjota,458
rauhoittua,459
numero,460
vika,461
sota,462
rakkaus,463
koskea,464
John,465
eilen,466
puhelin,467
varten,468
miljoona,469
nuo,470
mahdollisuus,471
jolla,472
senkki,473
juhla,474
melkein,475
liike,476
kuultaa,477
päästää,478
ihme,479
suojella,480
liikkua,481
tutkia,482
kuolema,483
kauas,484
ihana,485
Jack,486
vaiva,487
täydellinen,488
uhri,489
kaivata,490
kannattaa,491
kohdata,492
muuttua,493
idea,494
sanonut,495
eri,496
elokuva,497
juosta,498
oppia,499
pärjätä,500
upea,501
löysä,502
ikävä,503
huolehtia,504
jätti,505
alku,506
kävellä,507
suu,508
pomo,509
paitsi,510
musta,511
arvata,512
vuoksi,513
alue,514
uutinen,515
tahto,516
vankila,517
viha,518
lähde,519
ensi,520
suoraan,521
kiittää,522
haloo,523
kuollut,524
kirja,525
vauhti,526
hetkinen,527
sairaala,528
johtaa,529
tuhota,530
heittää,531
sulkea,532
kadota,533
laki,534
toki,535
todiste,536
herätä,537
terve,538
ehtiä,539
pelkkä,540
pikku,541
aiemmin,542
selittää,543
eräs,544
sisko,545
vaihtaa,546
kone,547
new,548
para,549
sopimus,550
kuvitella,551
viitsiä,552
ero,553
esittää,554
tervetuloa,555
taistella,556
todistaa,557
uni,558
onnellinen,559
huomen,560
ai,561
estää,562
puhe,563
työskennellä,564
yhtään,565
kuningas,566
tavara,567
johtaja,568
loistava,569
agentti,570
varoa,571
varastaa,572
nostaa,573
sisältää,574
tyhmä,575
voima,576
vauva,577
tahtoa,578
huolia,579
presidentti,580
paeta,581
tuollainen,582
vastaus,583
samoin,584
tehty,585
toimisto,586
virhe,587
kokeilla,588
vara,589
olo,590
vapaa,591
laita,592
kiire,593
Elo,594
toistaa,595
paikata,596
kymmenen,597
pysäyttää,598
lahja,599
opettaa,600
kuulu,601
Michael,602
muka,603
väärin,604
vahva,605
tähti,606
maksaa,607
luo,608
lentää,609
sänky,610
avain,611
vaarallinen,612
kamala,613
vaatia,614
kasvo,615
saapua,616
asiakas,617
vaate,618
valo,619
perä,620
kuvata,621
kahvi,622
typerä,623
tykätä,624
uudelleen,625
asunto,626
polttaa,627
paskiainen,628
iloinen,629
järki,630
lähetti,631
käynyt,632
huomio,633
vastata,634
joukko,635
tilanne,636
uskomaton,637
nauttia,638
haista,639
uudestaan,640
tarkistaa,641
kiinnostaa,642
korjata,643
luvata,644
velka,645
järjestää,646
väittää,647
suostua,648
vihainen,649
tarkoitus,650
taivas,651
ansaita,652
pöytä,653
tilaisuus,654
sääntö,655
ilmoittaa,656
muttei,657
valkoinen,658
luota,659
York,660
haitata,661
loppua,662
kunhan,663
hyväksyä,664
epäillä,665
tulevaisuus,666
merkki,667
yleensä,668
johtua,669
jälki,670
mahdollistaa,671
suoda,672
seksi,673
alus,674
kääntyä,675
ympäri,676
keino,677
voisitko,678
vähä,679
sekä,680
henkilö,681
erilainen,682
aiheuttaa,683
teko,684
Frank,685
pidättää,686
armeija,687
rakentaa,688
siirtää,689
kumpi,690
erittäin,691
kyyti,692
pysähtyä,693
omata,694
sata,695
taju,696
laulaa,697
vaihtoehto,698
kunnia,699
mahdollinen,700
puhelu,701
salaisuus,702
kuulemma,703
ryhmä,704
Valta,705
huutaa,706
auki,707
varmistaa,708
luu,709
syntyä,710
pudota,711
sotilas,712
idiootti,713
tavallinen,714
iskeä,715
seisoa,716
pilata,717
kautta,718
rauhallinen,719
paikko,720
poistua,721
vastuu,722
tappaja,723
lehti,724
pelko,725
katsella,726
lähtö,727
vakava,728
tutka,729
David,730
vihollinen,731
kauppa,732
kasvaa,733
ylpeä,734
hypätä,735
väki,736
korkea,737
puhunut,738
pettää,739
tanssi,740
kohde,741
rakas,742
tuhat,743
näet,744
painua,745
itkeä,746
seitsemän,747
selkä,748
sentään,749
löytänyt,750
musiikki,751
todellinen,752
viimeksi,753
esillä,754
kuuma,755
George,756
siirtyä,757
päin,758
