lemma,freq,rank
olla,9923189,1
ei,5189940,2
se,4455567,3
mikä,3210324,4
hän,3030433,5
minä,2354735,6
ja,2030301,7
sinä,1986707,8
tämä,1484104,9
voida,1199751,10
että,1154966,11
voi,989562,12
hyvä,971155,13
tehdä,893005,14
tietää,859682,15
niin,844382,16
haluta,831999,17
tulla,815917,18
me,788927,19
pitää,758874,20
mutta,755161,21
saada,735217,22
he,717294,23
vain,671825,24
joka,665512,25
täällä,653309,26
kaikki,642418,27
mennä,641490,28
jos,617062,29
nyt,577376,30
tee,558592,31
sanoa,540289,32
kuu,524381,33
kun,513927,34
te,492822,35
nähdä,474810,36
tuo,462402,37
ne,445969,38
yksi,398068,39
antaa,391104,40
aika,383743,41
kanssa,370482,42
tuoda,360060,43
sitten,352658,44
mikään,352304,45
tosi,343578,46
kertoa,336849,47
miten,332623,48
tie,326240,49
jokin,317437,50
kiitos,310913,51
siitä,310562,52
siittää,309085,53
puhua,307833,54
kyllä,307540,55
mies,301841,56
oikea,301437,57
ottaa,291662,58
ollut,291510,59
jo,287312,60
vuo,286406,61
hei,285388,62
asia,283297,63
muu,276958,64
tarvita,269604,65
siellä,266914,66
kuka,258075,67
pää,256757,68
oltu,256707,69
isä,254799,70
itse,249395,71
lähteä,246655,72
katsoa,244935,73
tai,238818,74
häntä,238128,75
tuli,230623,76
äiti,222770,77
ehkä,221879,78
vielä,221369,79
toinen,221276,80
päästä,221041,81
Anna,220107,82
luulla,218855,83
näyttää,217802,84
yrittää,206406,85
hyvin,203936,86
käydä,203011,87
odottaa,202388,88
anteeksi,201356,89
vuosi,199034,90
joku,198895,91
Aina,198395,92
aina,198230,93
koska,194373,94
auttaa,194080,95
paljo,193527,96
ettei,191036,97
tappaa,189316,98
Päivä,187451,99
ihminen,187444,100
päivä,187428,101
poika,187011,102
halu,186088,103
kaksi,186074,104
paha,184361,105
työ,183926,106
selvä,183694,107
uskoa,183679,108
kuulla,175713,109
paikka,175142,110
löytää,173147,111
herra,171949,112
mukaan,165923,113
täytyä,165653,114
sama,165651,115
kerta,165106,116
ennen,164834,117
viedä,163653,118
tapahtua,160376,119
pois,156734,120
nimi,156420,121
olka,156380,122
lapsi,155156,123
taata,154848,124
soittaa,154132,125
tuntea,153189,126
kuolla,149855,127
nainen,148990,128
muuttaa,148558,129
tavata,148000,130
ymmärtää,146343,131
usko,145990,132
juuri,143770,133
enää,143207,134
uusi,142618,135
koko,142370,136
takainen,141998,137
varma,140464,138
kukaan,138831,139
juuria,138148,140
kerto,138087,141
näin,137589,142
alkaa,136029,143
Varma,135492,144
tarkoittaa,135430,145
tyttö,132897,146
nämä,132597,147
ystävä,132367,148
vasta,132226,149
kunto,131527,150
elämä,131517,151
kuinka,129750,152
raha,129374,153
vähä,129279,154
jälki,128343,155
sana,128071,156
vai,128045,157
auto,127996,158
muistaa,127409,159
puoli,126150,160
aikoa,125454,161
Kai,123390,162
koskaan,122931,163
mieli,122717,164
ajatella,120973,165
pyytää,120628,166
jättää,119558,167
ihan,119098,168
oma,118991,169
elää,118659,170
kai,118537,171
tapa,118530,172
ajaa,118384,173
etsiä,117277,174
päästää,116850,175
juttu,116514,176
liika,116331,177
entä,116317,178
joten,115796,179
rakastaa,115386,180
aivan,115186,181
vastata,115013,182
ken,114503,183
hieno,113547,184
ulos,112983,185
siis,112660,186
no,111509,187
jäädä,111211,188
koti,110645,189
vanha,110591,190
osa,110496,191
sisä,109691,192
käyttää,109353,193
oleva,108617,194
valmis,108388,195
vähän,106050,196
oikein,105892,197
lopettaa,105766,198
kuten,105630,199
taitaa,104467,200
palata,104135,201
käsi,102809,202
naida,102503,203
kolme,101015,204
edes,100703,205
maa,99378,206
myös,99217,207
hetki,99134,208
noki,98716,209
kota,96934,210
apu,95901,211
sellainen,95283,212
kysyä,95167,213
vaan,93740,214
Ilma,91865,215
ilma,91843,216
noin,91818,217
jälkeen,91545,218
taas,90143,219
hakea,89487,220
heittää,89289,221
poliisi,89124,222
hauska,88000,223
moni,87557,224
hoitaa,87519,225
vaikka,85876,226
tänään,84965,227
pysyä,84666,228
kuollut,84546,229
syödä,84498,230
osata,84439,231
kuulua,83920,232
toimia,83519,233
helvetti,83451,234
niittää,83360,235
suuri,82586,236
enempi,82569,237
liian,82091,238
kuunnella,81731,239
Ilta,81524,240
ilta,81502,241
pystyä,80359,242
maailma,80063,243
nähnyt,80032,244
vaimo,79696,245
tehnyt,79503,246
syy,79480,247
pari,79297,248
loppu,79236,249
talo,79121,250
pieni,78970,251
maksaa,78591,252
yö,78429,253
kiinni,78393,254
laittaa,77856,255
luoja,77540,256
kova,77159,257
tuntua,77048,258
väli,76761,259
ase,76614,260
kaveri,76401,261
perhe,76169,262
tunti,75997,263
ilman,75647,264
takia,74466,265
heti,74375,266
kutsua,73933,267
ongelma,73628,268
täysi,72529,269
ensimmäinen,72519,270
ikä,72432,271
lähettää,72023,272
kauan,71733,273
ampua,71097,274
iso,70714,275
enemmän,68933,276
istua,68924,277
Pia,68775,278
pian,68560,279
unohtaa,68244,280
saattaa,67943,281
tärkeä,67433,282
jatkaa,67205,283
viikko,67153,284
väärä,65881,285
sopia,65391,286
myöhä,65203,287
pysty,65052,288
lisä,64850,289
kohta,64796,290
tieto,64690,291
hullu,63830,292
vastaan,63799,293
joutua,63641,294
mukava,63420,295
paska,63172,296
huoli,63087,297
veli,63054,298
pala,62963,299
n,62428,300
edessä,62315,301
silta,61979,302
matka,61791,303
siksi,61680,304
uusia,61673,305
kuva,61105,306
lukea,61075,307
silmä,60857,308
ainoa,60812,309
huono,60695,310
onni,60344,311
miksei,59805,312
aloittaa,59690,313
hitto,59653,314
kyse,59416,315
jumala,59377,316
yhä,59244,317
luokse,58984,318
kuoltu,58931,319
kaunis,58772,320
pelätä,58761,321
viimeinen,58676,322
näkyä,58619,323
seurata,58561,324
riittää,58502,325
asua,58187,326
jää,58107,327
voinut,58087,328
henki,58056,329
toivoa,57826,330
luvata,57665,331
ovi,57647,332
yhdessä,57581,333
ala,57570,334
tuottaa,57499,335
Autto,57125,336
nopea,57064,337
ostaa,57019,338
kulta,57004,339
lisätä,56892,340
kestää,56772,341
vittu,56752,342
joo,56652,343
panna,56504,344
kaupunki,56274,345
kuolema,56198,346
oieta,55823,347
saanut,55633,348
rouva,54817,349
vaikea,54429,350
silloin,54366,351
ensin,54311,352
huone,54296,353
yhtä,54061,354
voittaa,53862,355
pelastaa,53638,356
luottaa,53439,357
pitänyt,53389,358
tunne,53162,359
tila,52974,360
peljätä,52972,361
tarve,52690,362
tajuta,52556,363
